,Data
0,327.0
1,684.9999883174896
2,338.99999948590994
3,1722.0000200271606
4,1099.0000083446503
5,605.0000014901161
6,592.9999946951866
7,689.9999814033508
8,403.99999974668026
9,575.9999948143959
10,2016.0000500679016
11,498.99999994039536
12,426.999998152256
13,449.00000086426735
14,463.9999996125698
15,509.9999964237213
16,539.0000030994415
17,262.99999786913395
18,744.9999833106995
19,3321.999990463257
20,5259.000102996826
21,2848.0000534057617
22,2399.0000038146973
23,1576.9999866485596
24,995.0000274181366
25,894.000018954277
26,513.9999986886978
27,815.9999942779541
28,844.0000101327896
29,1442.9999692440033
30,1217.9999685287476
31,900.000002861023
32,960.9999886751175
33,328.0000000332948
34,371.00000055134296
35,651.000008046627
36,503.00000220537186
37,402.99999918043613
38,417.0000022351742
39,455.0000042617321
40,861.0000100135803
41,474.99999609589577
42,359.9999991953373
43,350.0000008419156
44,875.9999892711639
45,1450.0000219345093
46,873.0000168085098
47,412.9999999701977
48,1563.0000371932983
49,2123.000042438507
50,748.999985575676
51,705.9999904632568
52,854.9999871253967
53,2926.000039100647
54,4357.9999923706055
55,2453.000053882599
56,2091.999976158142
57,2065.0000290870667
58,2114.9999599456787
59,1697.9999284744263
60,1521.999984741211
61,1073.0000131130219
62,897.9999822378159
63,829.999982714653
64,602.0000095367432
65,1295.0000023841858
66,1549.9999616146088
67,1437.000024318695
68,1066.9999902248383
69,805.000017285347
70,533.9999905228615
71,345.00000044703484
72,1105.9999830722809
73,725.0000109672546
74,386.99999986588955
75,294.999998934567
76,1027.9999973773956
77,891.0000075101852
78,1303.0000069141388
79,2052.0000314712524
80,1385.0000338554382
81,1252.9999980926514
82,863.9999824762344
83,704.9999996423721
84,562.9999971985817
85,503.99999302625656
86,710.999983549118
87,785.9999967813492
88,678.000013589859
89,376.999999076128
90,970.0939292907715
91,1211.6588580608368
92,1076.8643989562988
93,1125.5053589344025
94,1075.623074054718
95,1226.7150485515594
96,1038.8244409561157
97,1073.6069540977478
98,1035.3730244636536
99,1144.9889831542969
100,1039.8613471984863
101,1120.2122254371643
102,1023.0120885372162
103,1079.3985822200775
