,Data
0,9356.0
1,9748.999988406897
2,7352.999987959862
3,7865.000036001205
4,11820.9998909235
5,11279.999934375286
6,7026.999978065491
7,9792.000012591481
8,16495.00006699562
9,11079.000068545341
10,9209.00000526756
11,9479.999996386468
12,15701.999910354614
13,7676.999946475029
14,11107.999977052212
15,9062.000010535121
16,8608.9999794662
17,6164.999861240387
18,12753.000133037567
19,12109.000039935112
20,7448.99994468689
21,8030.9999786019325
22,5450.000035405159
23,5660.000132441521
24,6654.999901771545
25,5087.999937176704
26,7097.999989628792
27,33696.999475479126
28,24484.00050020218
29,14442.999772071838
30,12555.201659917831
31,11680.375059962273
32,11975.44161105156
33,11772.76304602623
34,12004.473166823387
35,12043.139153838158
36,12103.079631328583
37,12271.195758223534
38,12387.676096081734
39,12410.280329346657
40,12465.677821040154
41,11960.670563817024
42,12503.435378193855
43,12913.70438683033
