,Data
0,4433.0
1,5742.000062614679
2,8562.000046014786
3,11318.999896407127
4,7526.999955832958
5,7760.9999969005585
6,3470.0000240802765
7,5119.0000317543745
8,4445.999999987893
9,5860.000051707029
10,5182.000032648444
11,4397.99999812711
12,4872.00000308454
13,4544.99999608472
14,4455.999999343418
15,3794.000009804964
16,5225.0000018030405
17,6314.000045567751
18,6781.999995589256
19,7391.00000423193
20,4865.999993562698
21,4134.99998947978
22,4364.999999428168
23,8454.000006735325
24,8969.000064373016
25,5601.000003993511
26,6253.999950349331
27,3867.0000265687704
28,4670.999997872859
29,4232.9999963752925
30,5395.000007361174
31,4836.000012010336
32,4033.9999943375587
33,4565.999996382743
34,5151.000016480684
35,2802.000020891428
36,3118.999962478876
37,2812.999939262867
38,9314.000182509422
39,5631.9999541044235
40,4443.99999991036
41,4322.9999988321215
42,4007.999986104667
43,3176.0000199079514
44,4379.999998461455
45,4315.000002650544
46,4756.999985724688
47,2847.0000592768192
48,3521.000005930662
49,4240.000007484108
50,3758.9999872893095
51,2983.9999794363976
52,3206.000001460314
53,2605.0000055134296
54,2570.0000490546227
55,2848.000027835369
56,6833.999945998192
57,4567.99999955669
58,3964.000015363097
59,9247.999879598618
60,4555.982194706798
61,4381.171846937388
62,4536.379734361544
63,4473.341655823402
64,4510.165726713836
65,4501.307804838754
66,4573.078928910196
67,4524.265965426341
68,4591.13076255843
69,4633.9550039842725
70,4576.893596258014
71,4507.833292454481
72,4547.642980098724
73,4530.070215480402
74,4604.808311760426
75,4569.959708053619
76,4657.600382857025
77,4449.993437808007
78,4533.780686408281
79,4637.357327975333
80,4616.939106848091
81,4671.196995906532
82,4581.603944916278
83,4566.288706092164
84,4618.780491016805
85,4585.781891897321
86,4510.098687270656
87,4530.953502874821
88,4673.27900865674
89,4658.047653771937
